"filename", "language", "JSON with Comments", "Pug", "JavaScript", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\David\OneDrive\WORK\Web\FP\node\routes\articleRoutes.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 6, 13, 90
"c:\Users\David\OneDrive\WORK\Web\FP\node\routes\reviewRoutes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\David\OneDrive\WORK\Web\FP\node\routes\userRoutes.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 1, 9, 28
"c:\Users\David\OneDrive\WORK\Web\FP\node\routes\viewRoutes.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\David\OneDrive\WORK\Web\FP\node\server.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 7, 21
"c:\Users\David\OneDrive\WORK\Web\FP\node\utils\catchWrapper.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\David\OneDrive\WORK\Web\FP\node\utils\dataHandler.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 1, 11, 52
"c:\Users\David\OneDrive\WORK\Web\FP\node\utils\email.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 5, 10, 66
"c:\Users\David\OneDrive\WORK\Web\FP\node\utils\errorHandler.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\David\OneDrive\WORK\Web\FP\node\utils\storageHandler.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\_footer.pug", "Pug", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\_header.pug", "Pug", 0, 15, 0, 0, 0, 0, 0, 2, 3, 20
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\_post.pug", "Pug", 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\article.pug", "Pug", 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\articles.pug", "Pug", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\base.pug", "Pug", 0, 40, 0, 0, 0, 0, 0, 4, 9, 53
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\edit.pug", "Pug", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\email\baseEmail.pug", "Pug", 0, 334, 0, 0, 0, 0, 0, 0, 33, 367
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\email\passwordReset.pug", "Pug", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\email\welcome.pug", "Pug", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\error.pug", "Pug", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\login.pug", "Pug", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\myArticles.pug", "Pug", 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\userMenu.pug", "Pug", 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\variables.pug", "Pug", 0, 7, 0, 0, 0, 0, 0, 1, 0, 8
"c:\Users\David\OneDrive\WORK\Web\FP\node\views\write.pug", "Pug", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 29, 621, 8540, 60, 2211, 55, 1, 260, 909, 12686
